iter	Passed	Remaining
0	1	1346
1	2	1399
2	4	1343
3	5	1250
4	5	1177
5	7	1171
6	7	1131
7	8	1110
8	10	1115
9	10	1082
10	12	1083
11	12	1068
12	13	1041
13	14	1040
14	15	1028
15	16	1022
16	17	1013
17	18	1004
18	19	997
19	20	985
20	20	977
21	21	969
22	22	955
23	23	945
24	24	937
25	24	930
26	25	917
27	26	905
28	26	896
29	27	883
30	28	876
31	28	865
32	29	857
33	29	851
34	30	841
35	31	836
36	31	828
37	32	831
38	33	827
39	34	821
40	34	817
41	35	811
42	36	807
43	36	801
44	37	797
45	38	793
46	38	790
47	39	788
48	40	787
49	41	784
50	41	779
51	42	774
52	43	770
53	43	769
54	44	764
55	45	760
56	45	756
57	46	752
58	46	749
59	47	745
60	48	753
61	49	750
62	50	746
63	50	743
64	51	740
65	52	736
66	52	733
67	53	730
68	53	727
69	54	725
70	55	722
71	55	719
72	56	717
73	57	713
74	57	709
75	58	706
76	58	703
77	59	700
78	59	697
79	60	695
80	61	693
81	61	691
82	62	688
83	62	686
84	63	684
85	64	681
86	64	677
87	65	673
88	65	671
89	66	667
90	66	664
91	67	661
92	67	658
93	68	655
94	68	652
95	69	650
96	69	646
97	70	644
98	70	642
99	71	639
100	71	636
101	72	634
102	72	631
103	73	629
104	73	626
105	74	624
106	74	622
107	75	619
108	75	616
109	75	613
110	77	617
111	77	616
112	78	616
113	79	614
114	79	612
115	80	609
116	80	607
117	81	605
118	81	604
119	82	602
120	82	600
121	83	598
122	83	596
123	84	595
124	84	594
125	85	593
126	86	592
127	86	590
128	87	588
129	87	586
130	88	584
131	88	582
132	89	581
133	89	579
134	90	577
135	90	576
136	91	574
137	91	572
138	92	570
139	92	569
140	93	567
141	93	566
142	94	565
143	94	564
144	95	562
145	96	561
146	96	560
147	97	559
148	97	558
149	98	557
150	99	556
151	99	555
152	100	554
153	100	552
154	101	551
155	101	550
156	102	549
157	103	549
158	103	548
159	104	547
160	104	546
161	105	544
162	105	543
163	106	543
164	107	542
165	107	541
166	108	540
167	108	539
168	109	538
169	110	538
170	110	537
171	111	535
172	111	534
173	112	533
174	112	532
175	113	531
176	114	530
177	114	528
178	115	530
179	116	528
180	116	527
181	117	526
182	117	526
183	118	525
184	119	524
185	119	524
186	120	523
187	120	522
188	121	521
189	122	520
190	122	519
191	123	519
192	123	517
193	124	516
194	125	516
195	125	515
196	126	514
197	126	513
198	127	512
