iter	RMSE
0	12.41270143
1	12.00211931
2	11.61669318
3	11.22045069
4	10.85281191
5	10.50053505
6	10.16967051
7	9.86408489
8	9.539405889
9	9.232634319
10	8.937135328
11	8.664425541
12	8.403243842
13	8.157381674
14	7.911524245
15	7.687974648
16	7.467116946
17	7.256649505
18	7.049454753
19	6.857192945
20	6.664920774
21	6.48810566
22	6.316161554
23	6.158176426
24	6.01028736
25	5.856298328
26	5.716164419
27	5.577234611
28	5.449207286
29	5.333782299
30	5.211544155
31	5.09665538
32	4.99658234
33	4.900801924
34	4.809601059
35	4.716871537
36	4.628026478
37	4.561357332
38	4.489327282
39	4.414707167
40	4.342857827
41	4.275351266
42	4.20674667
43	4.143293272
44	4.091856704
45	4.034802769
46	3.987692275
47	3.937444387
48	3.889108363
49	3.841139745
50	3.793776729
51	3.752005988
52	3.709039563
53	3.672755818
54	3.639320671
55	3.602957684
56	3.567913138
57	3.537061783
58	3.503948164
59	3.470155999
60	3.436634251
61	3.40660315
62	3.379873297
63	3.356285457
64	3.328266968
65	3.303553936
66	3.283861236
67	3.263686281
68	3.241572565
69	3.233442913
70	3.214718938
71	3.192022224
72	3.172694612
73	3.154499725
74	3.138464085
75	3.120542342
76	3.105377256
77	3.089511984
78	3.072458829
79	3.05625675
80	3.042989243
81	3.024151632
82	3.010204753
83	2.999253431
84	2.98303245
85	2.971806742
86	2.960278653
87	2.946894689
88	2.935439246
89	2.924915597
90	2.9136024
91	2.906159072
92	2.893731912
93	2.885944295
94	2.877591048
95	2.869422282
96	2.859533766
97	2.849882361
98	2.840100548
99	2.833523171
100	2.826511324
101	2.820549636
102	2.812620962
103	2.801511584
104	2.793396811
105	2.784125987
106	2.775830612
107	2.771038836
108	2.762962916
109	2.757471684
110	2.74834053
111	2.742052175
112	2.733402507
113	2.725826874
114	2.717567752
115	2.708966318
116	2.703117408
117	2.696616855
118	2.690655725
119	2.681859194
120	2.676175883
121	2.665126485
122	2.652614726
123	2.648430983
124	2.64513813
125	2.635729482
126	2.629442912
127	2.624495972
128	2.616056956
129	2.609989609
130	2.603933196
131	2.595931164
132	2.590834482
133	2.582511286
134	2.577175164
135	2.571456391
136	2.568818441
137	2.562539561
138	2.556748348
139	2.549782085
140	2.545442483
141	2.53787313
142	2.53449609
143	2.531255001
144	2.52580591
145	2.521249644
146	2.51340262
