iter	Passed	Remaining
0	0	921
1	1	906
2	2	863
3	3	952
4	5	996
5	6	1011
6	7	997
7	7	986
8	9	1003
9	10	991
10	10	984
11	11	978
12	12	975
13	13	970
14	14	969
15	15	958
16	16	950
17	17	942
18	18	937
19	19	932
20	19	928
21	20	928
22	21	927
23	22	922
24	23	914
25	24	907
26	25	904
27	26	905
28	27	914
29	28	906
30	28	904
31	29	900
32	30	901
33	31	891
34	32	887
35	32	883
36	33	876
37	34	870
38	35	868
39	35	863
40	36	856
41	37	852
42	38	847
43	38	843
44	39	839
45	40	832
46	40	826
47	41	824
48	42	819
49	42	813
50	43	807
51	43	801
52	44	795
53	45	789
54	45	784
55	46	780
56	47	779
57	47	776
58	48	771
59	48	766
60	49	760
61	49	755
62	50	755
63	51	750
64	51	745
65	52	741
66	52	737
67	53	734
68	54	729
69	54	720
70	54	717
71	55	713
72	56	711
73	56	707
74	57	704
75	57	700
76	58	696
77	58	694
78	59	692
79	59	689
80	60	687
81	61	684
82	61	681
83	62	681
84	62	677
85	63	674
86	64	672
87	64	670
88	65	669
89	66	667
90	66	665
91	67	662
92	67	659
93	68	658
94	68	656
95	69	654
96	70	653
97	70	651
98	71	648
99	71	647
100	72	645
101	72	641
102	73	639
103	73	636
104	74	634
105	74	632
106	75	630
107	75	627
108	76	626
109	77	625
110	77	623
111	78	622
112	79	620
113	79	618
114	80	615
115	80	613
116	81	611
117	81	609
118	82	611
119	83	610
120	83	607
121	84	606
122	84	604
123	85	603
124	86	602
125	86	601
126	87	599
127	87	598
128	88	596
129	89	595
130	89	594
131	90	593
132	90	591
133	91	591
134	92	589
135	92	588
136	93	587
137	93	586
138	94	585
139	94	583
140	95	583
141	96	582
142	96	581
143	97	579
144	98	579
145	98	578
146	99	576
147	99	574
148	100	572
149	100	570
150	101	569
151	101	567
152	102	566
153	102	565
154	103	564
155	104	564
156	104	563
157	105	562
158	105	560
159	106	559
160	107	559
161	108	559
162	108	558
163	109	557
164	110	556
165	110	556
166	111	555
167	112	554
168	112	553
169	113	552
170	113	551
171	114	550
172	114	548
173	116	551
174	116	550
175	117	549
176	118	550
177	118	549
178	119	548
179	120	547
180	120	546
181	121	544
182	121	544
183	122	543
184	123	542
185	123	541
186	124	541
187	125	540
188	125	539
189	126	537
190	126	536
191	127	536
192	128	535
193	128	534
194	129	534
195	130	533
196	130	532
197	131	531
198	131	529
